REF_DATE,GEO,DGUID,Immigrant status,Labour force characteristics,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Aug-10,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.8,,,,1
Sep-10,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.4,,,,1
Oct-10,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.1,,,,1
Nov-10,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.8,,,,1
Dec-10,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.6,,,,1
Jan-11,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.2,,,,1
Feb-11,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.9,,,,1
Mar-11,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.7,,,,1
Apr-11,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.9,,,,1
May-11,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.4,,,,1
Jun-11,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.3,,,,1
Jul-11,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.9,,,,1
Aug-11,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,63,,,,1
Sep-11,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.6,,,,1
Oct-11,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.2,,,,1
Nov-11,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.9,,,,1
Dec-11,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.6,,,,1
Jan-12,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.1,,,,1
Feb-12,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.7,,,,1
Mar-12,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.5,,,,1
Apr-12,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.9,,,,1
May-12,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.6,,,,1
Jun-12,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.3,,,,1
Jul-12,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.8,,,,1
Aug-12,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.9,,,,1
Sep-12,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.7,,,,1
Oct-12,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.5,,,,1
Nov-12,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.2,,,,1
Dec-12,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.1,,,,1
Jan-13,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.7,,,,1
Feb-13,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.4,,,,1
Mar-13,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.1,,,,1
Apr-13,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.3,,,,1
May-13,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.8,,,,1
Jun-13,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.5,,,,1
Jul-13,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,63,,,,1
Aug-13,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,63,,,,1
Sep-13,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.7,,,,1
Oct-13,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.5,,,,1
Nov-13,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.1,,,,1
Dec-13,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.9,,,,1
Jan-14,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.3,,,,1
Feb-14,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.9,,,,1
Mar-14,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.6,,,,1
Apr-14,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.8,,,,1
May-14,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.3,,,,1
Jun-14,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62,,,,1
Jul-14,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.6,,,,1
Aug-14,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.6,,,,1
Sep-14,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.3,,,,1
Oct-14,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.1,,,,1
Nov-14,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.8,,,,1
Dec-14,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.7,,,,1
Jan-15,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.2,,,,1
Feb-15,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.8,,,,1
Mar-15,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.6,,,,1
Apr-15,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.8,,,,1
May-15,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.3,,,,1
Jun-15,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62,,,,1
Jul-15,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.5,,,,1
Aug-15,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.6,,,,1
Sep-15,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.3,,,,1
Oct-15,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.1,,,,1
Nov-15,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.7,,,,1
Dec-15,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.5,,,,1
Jan-16,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.9,,,,1
Feb-16,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.5,,,,1
Mar-16,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.2,,,,1
Apr-16,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.4,,,,1
May-16,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61,,,,1
Jun-16,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.7,,,,1
Jul-16,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.2,,,,1
Aug-16,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.2,,,,1
Sep-16,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.9,,,,1
Oct-16,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.7,,,,1
Nov-16,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.5,,,,1
Dec-16,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.4,,,,1
Jan-17,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61,,,,1
Feb-17,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.8,,,,1
Mar-17,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.6,,,,1
Apr-17,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.7,,,,1
May-17,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.3,,,,1
Jun-17,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.1,,,,1
Jul-17,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.7,,,,1
Aug-17,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.8,,,,1
Sep-17,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.5,,,,1
Oct-17,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.2,,,,1
Nov-17,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62,,,,1
Dec-17,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62,,,,1
Jan-18,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.6,,,,1
Feb-18,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.2,,,,1
Mar-18,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.9,,,,1
Apr-18,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.1,,,,1
May-18,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.6,,,,1
Jun-18,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.2,,,,1
Jul-18,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.8,,,,1
Aug-18,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.8,,,,1
Sep-18,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.5,,,,1
Oct-18,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.3,,,,1
Nov-18,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.1,,,,1
Dec-18,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.1,,,,1
Jan-19,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.8,,,,1
Feb-19,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.5,,,,1
Mar-19,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.3,,,,1
Apr-19,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.5,,,,1
May-19,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.1,,,,1
Jun-19,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.8,,,,1
Jul-19,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,63.2,,,,1
Aug-19,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,63.2,,,,1
Sep-19,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.9,,,,1
Oct-19,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.7,,,,1
Nov-19,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.4,,,,1
Dec-19,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.2,,,,1
Jan-20,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.7,,,,1
Feb-20,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.4,,,,1
Mar-20,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,59.9,,,,1
Apr-20,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,56.6,,,,1
May-20,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,54.1,,,,1
Jun-20,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,54,,,,1
Jul-20,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,56.3,,,,1
Aug-20,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,58.1,,,,1
Sep-20,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,58.9,,,,1
Oct-20,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,59.5,,,,1
Nov-20,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,59.8,,,,1
Dec-20,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,59.7,,,,1
Jan-21,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,58.9,,,,1
Feb-21,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,58.6,,,,1
Mar-21,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,58.7,,,,1
Apr-21,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,59.1,,,,1
May-21,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,59.6,,,,1
Jun-21,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.2,,,,1
Jul-21,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61,,,,1
Aug-21,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.4,,,,1
Sep-21,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.3,,,,1
Oct-21,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.4,,,,1
Nov-21,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.6,,,,1
Dec-21,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.6,,,,1
Jan-22,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.1,,,,1
Feb-22,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.9,,,,1
Mar-22,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.8,,,,1
Apr-22,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.4,,,,1
May-22,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62,,,,1
Jun-22,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.6,,,,1
Jul-22,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,63,,,,1
Aug-22,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.8,,,,1
Sep-22,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.4,,,,1
Oct-22,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.2,,,,1
Nov-22,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.1,,,,1
Dec-22,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.1,,,,1
Jan-23,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.8,,,,1
Feb-23,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.6,,,,1
Mar-23,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.5,,,,1
Apr-23,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.6,,,,1
May-23,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.1,,,,1
Jun-23,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.6,,,,1
Jul-23,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.9,,,,1
